#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18A0F
#Date Time: 2017-10-06 13:14:36.513

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
31078.661877820141,-25.09668022076476,-86.267311333661297
32929.712550971512,-25.590843976168923,-86.385397707180232
34891.0121340677,-26.09185526024423,-86.572851610976954
36969.127071950265,-26.604808887352746,-86.787627067103998
39171.014908092606,-27.083717173324139,-86.882732909226917
41504.047578504767,-27.616919971545411,-87.088007834472876
43976.036093027215,-28.094813616328572,-87.133341239909896
46595.256686646775,-28.590561168192203,-87.255524175398776
49370.478528390013,-29.100854237937831,-87.515868966651951
52310.993080562635,-29.602227031935971,-87.628560453462725
55426.645206631067,-30.100058702687896,-87.776501500747571
58727.866131894829,-30.592952205723861,-87.536513734016964
62225.70836730225,-31.093725527541753,-87.851054709348631
65931.88271333545,-31.613091764206992,-87.847316355330292
69858.797467852492,-32.09708940591252,-88.09490978865631
74019.599969156436,-32.565693962997116,-88.131257767446712
78428.22061337682,-33.069754152426086,-88.024871578205648
83099.419493533875,-33.529869300201398,-88.216055949785357
88048.835816434599,-34.105760687218016,-88.302807324422247
93293.040262846858,-34.566180412132276,-88.330106091131825
98849.590466255875,-35.027624044621618,-87.891565134380841
104737.08979594499,-35.636414484631914,-88.394687999834872
110975.24964120713,-36.09382111091206,-88.699107045233887
117584.95540521563,-36.601270778573003,-88.242600483034607
124588.33642950079,-37.054854726058331,-88.255770562592602
132008.84008314181,-37.593152989376037,-88.743638878532977
139871.3102647239,-37.995297945438601,-88.592286629577004
148202.07057988574,-38.575388976431164,-89.316123309661776
157029.01247293767,-39.048037946919237,-88.871533861083378
166381.68860761289,-39.647723922036405,-88.944120842029562
176291.41180959478,-40.087664099322581,-89.021548396291337
186791.35990207831,-40.683047816502267,-87.961375821320402
197916.68678535559,-41.046822374565238,-88.182893240455343
209704.64013232317,-41.545486759240113,-89.164911813642561
222194.68609395233,-42.094476542437803,-88.50326159424948
235428.6414322418,-42.588588949218149,-88.066676529955046
249450.81352303171,-43.102678845678575,-88.55430505861321
264308.14869741071,-43.624368107894,-86.941479500120693
280050.38941836299,-44.026862489310176,-88.792121556218433
296730.2408188869,-44.798110285490147,-88.624483214316399
314403.54715915001,-45.477830858965746,-86.472117441566752
333129.47879346745,-45.720876767693056,-88.862203028273584
352970.73027306522,-46.407662318719325,-89.328179622464575
373993.73024787958,-46.693437981932895,-88.583626640081519
396268.86387014767,-47.512227638875579,-87.387999263478306
419870.70844439103,-48.080399435411572,-88.684933451487552
444878.28311275865,-48.384865921859934,-87.361154849163995
471375.31341167266,-48.891147052309037,-86.87630846278455
499450.51158551371,-49.645831667904126,-86.231692040391636
529197.87359584402,-49.842975210491325,-88.059884227179055
560716.99382054585,-50.81982215051945,-87.707918359368364
594113.39849650359,-51.259177707174679,-87.013929854492403
629498.89902218909,-51.840084300619687,-85.959526268950356
666991.96630301187,-52.496396035536463,-87.251118858337861
706718.12739274895,-53.073162084607048,-85.723585778305107
748810.3857590023,-53.740237607777914,-86.044988997695526
793409.66657974944,-54.297774456114176,-85.650218978681252
840665.28856183297,-54.876046784471484,-87.164607916907642
890735.46386104356,-55.882598916399232,-82.576679627882484
943787.82777753787,-56.432730350929418,-87.83499644660553
1000000,-57.377569787707102,-86.156047358200453
